metric.__name__,metric.container_id,metric.container_name,metric.container_namespace,metric.instance,metric.job,metric.mode,metric.pod_name,time,joules
kepler_container_joules_total,24046df3f76b461ee06db63b61ec4b3fc7cd622d6c406f4246105ece4e387da9,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895985-krr9j,1733759167.329,248.886
kepler_container_joules_total,4635d0dbf603ccef6629caa0ce9f0b61123005bb31e8436640b5ce083aab2448,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895970-5x6qp,1733758266.988,4616.553
kepler_container_joules_total,b36d44c95b1e27e97e411278c44cc51f99d3b3d50f912583c11947ad2462e775,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895955-mgsnf,1733757366.689,3605.313
kepler_container_joules_total,85e0589f5367eabc1d1ee766808da6eb840081b80dca3fa69aed44cfe52239b4,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895940-z7hrt,1733756466.273,3573.345
kepler_container_joules_total,33a0123d329e9771f1f2e725b9b412d434dcc5d80715e46efc5f79c37a85619a,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895925-2fnvt,1733755565.991,4581.405
kepler_container_joules_total,c16e11fc2589a99ac37c348226d956082a5712a0b43e3fff78d2698cf0c9afcc,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895910-5dwsn,1733754665.653,4573.806
kepler_container_joules_total,a3b1eabe4d672100c7e0244ba0a585ac529a0f47140bcba44b696251cb49d8d3,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895895-4jsqc,1733753765.225,4635.843
kepler_container_joules_total,3f05b39b7f172912ebda5fcf09a7135bca7107c0007b3746c0045a372c8e9d8f,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895880-tm4px,1733752864.798,3774.636
kepler_container_joules_total,597faa865b221b731627c3152be02dd38ac35da4c53e8a0751754bb32c4966e8,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895865-9jfp4,1733751964.442,3661.218
kepler_container_joules_total,49cd404dc7f7936dbb972ff2329e6851675a3a076f4ab9b991d3579d8c0f232f,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895850-wrnkp,1733751064.047,3689.286
kepler_container_joules_total,692f32de2a565ca433ed62b85e7664116505f0817489544532f34ed3e484dc97,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895835-b2zgf,1733750163.623,194.271
kepler_container_joules_total,d2d4e7acde84a73b77280aacdcb295475aac8a896e5f5cf5e46ab3b7b3daf20c,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895820-jnxn8,1733749263.213,180.642
kepler_container_joules_total,14472b619a3e343e3ad201d591b6acc0acd82d5e0957c103b0b8e9d47ac2e7a5,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895805-6w54x,1733748411.567,353.928
kepler_container_joules_total,1f39e804c7e42611e2982c9160e10d16aa73755fb9fb64acc6f2021950889bde,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895790-9gdrs,1733747511.202,359.109
kepler_container_joules_total,8892a3600dbcfac11ca8e7d351a51757fb5ebcd349b822f55b8940da8e7cbfdd,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895775-lzm58,1733746610.794,407.226
kepler_container_joules_total,0ce6dae47ab738724c34c361094f3543fc780193e1c58ff6ebcf317f83d9c8e4,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895760-bxgc6,1733745710.412,356.358
kepler_container_joules_total,8b85ae659b4547632884db15607066f29eef103aac5b080f9191dc29bcab189b,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895745-47rls,1733744810.096,353.913
kepler_container_joules_total,1716b8e4579169b41903a1c61bafe6bf7b2640390be377b3f3e01eac5c38b7f9,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895730-lz4sw,1733743909.712,353.496
kepler_container_joules_total,d102ecf6d59cbdc31d667eedfbded64432787073f24bc221215a58f6945bda3d,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895715-fv8br,1733743412.811,338.526
kepler_container_joules_total,f4a1eac7c5d60ab4749561b5f4c7e40b6418c0cb1bf8ae8f6e20fa7870363a59,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895700-m2rm6,1733742726.536,388.947
kepler_container_joules_total,1e13aa22cecf327dad9de2bf7eac0d39e42144f3ef88b7b980f9cd96f961a335,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28895685-lmqjk,1733741551.601,404.922
kepler_container_joules_total,27a1d263514d484da29da064e99b284fd13faa90a32c81e6ff279f853654d88f,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895670-c2kkw,1733741551.601,363.387
kepler_container_joules_total,6d6634feeebf58f32e17441aef68bfa2c2d13a6d8fdb57b7caa5f5b3279c62d5,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28895655-g9k52,1733741551.601,348.366
